GUID,NameSet,StreetAddress,City,State,ZipCode,NationalID,TelephoneNumber,TelephoneCountryCode,Birthday,EmailAddress,Username,Domain,Company,Occupation,Centimeters,Kilograms,BloodType,Vehicle,Color
7b76af05-176b-4d88-a5bf-db044b036c67,American,"2829 Frum Street",Nashville,TN,37209,758-01-8424,615-351-0467,1,3/4/1957,HenryMHall@armyspy.com,Conve1957,tfcfincons.com,"Montana's Cookhouse","Clinical laboratory technologist",177,99.2,B+,"2011 Mercedes-Benz E",Blue
225ec79d-ac25-4b79-b722-6d6f043b203b,American,"4468 Pearcy Avenue",Logansport,IN,46947,316-20-7328,260-917-7178,1,12/22/1977,GilbertoHGary@rhyta.com,Andeard,fionayard.com,"Buena Vista Garden Maintenance","Agricultural inspector",180,104.0,A+,"2008 Jeep Compass",Blue
36344756-2faf-4024-88eb-843a2e341a04,American,"3642 Irish Lane",Madison,WI,53703,389-68-1356,608-713-0797,1,3/20/1942,DevinLMcGhie@superrito.com,Gres1942,lamandteresa.com,"Pro Yard Services","Marine electronics technician",176,97.4,B+,"2005 GMC Sierra",Blue
6d9f08b4-7209-4b6f-822e-951f88c9be6b,American,"4303 Locust View Drive","San Francisco",CA,94115,604-43-3707,415-929-4586,1,7/19/1991,CaseyKCross@fleckens.hu,Beem1991,spacebugscomics.com,"Success Is Yours","Coin, vending, and amusement machine servicer",156,75.1,O+,"2012 BMW 120",Purple
c444b3fb-f481-4bdf-a1ff-a66bb5d66089,American,"3982 Kenwood Place",Miami,FL,33176,771-34-6659,954-607-0874,1,7/1/1996,JamesHRowe@armyspy.com,Cappasay,sortirmoinscher.com,"Garden Guru","Bank teller",170,100.9,A+,"1999 Cadillac Seville",Blue
5a35893d-9028-4010-a579-8f0c552d7372,American,"979 Fincham Road","Palm Springs",CA,92262,608-22-8407,760-578-2274,1,9/13/1996,PatriciaRMcDevitt@cuvox.de,Knothinnew1996,fitlookguru.com,"Club Wholesale","Stationary engineer",162,69.1,B+,"2005 Toyota Will",Green
d3c3cced-228a-4cdb-b92e-a393724288de,American,"2240 Pin Oak Drive","Pico Rivera",CA,90660,603-45-4643,562-942-4426,1,12/30/1990,RobynSAbraham@jourrapide.com,Honval,ListingMagazine.com,"Manning's Cafeterias","Data entry keyer",164,72.7,A+,"2012 Subaru Outback",Blue
0b44acdb-d622-4461-bc51-90025c4ef765,American,"4265 Drainer Avenue",Blountstown,FL,32424,267-20-9606,850-643-9787,1,8/24/1933,DorrisMSteinmetz@dayrep.com,Thametiones,renahrose.com,"Sew-Fro Fabrics","Elevator constructor",162,67.0,O+,"2001 Honda Passport",Purple
a1697856-4880-4d8c-920c-6b7a5d1b60ea,American,"1408 Elkview Drive","West Palm Beach",FL,33401,594-74-1429,772-285-7778,1,9/28/1964,BerthaBLimones@cuvox.de,Beenting,elpajero.com,Weatherill's,"Loan interviewer",156,76.5,B+,"2012 Mercedes-Benz ML",Blue
d7103e1a-19a8-4d33-97d8-83cc45e481aa,American,"3757 Beechwood Drive",Hanover,MD,21076,212-30-1987,410-971-0540,1,8/23/1970,BillyEPinegar@teleworm.us,Tinat1970,lollywoodcafe.com,"Robert Hall","Advertising sales agent",169,112.6,O+,"1999 Kia Potentia",Blue
65a57d4e-165a-4151-a5df-8d3b4e632723,American,"2344 Wescam Court",Reno,NV,89501,530-67-8616,775-981-2629,1,11/30/1955,CynthiaJNeff@gustr.com,Sacint,facebrandu.com,"Wheels Discount Auto",Deckhand,155,78.7,O-,"2005 Chevrolet Trans Sport",Green
a0203b27-fc4b-4a45-aba4-49e8c720d7a1,American,"3110 Post Avenue","South Bend",IN,46601,310-64-2625,219-204-3185,1,7/21/1974,JosephMLloyd@gustr.com,Sartur,laozei.com,HouseWorks!,"Adult secondary education teacher",189,71.0,O-,"2000 Volvo V70",Blue
04dab606-a697-4af9-a3a8-31261d074594,American,"1434 Franklin Street",Montgomery,AL,36104,421-58-4388,334-662-0400,1,4/16/1951,MichaelMGlynn@rhyta.com,Grevinat,clientseasy.com,Almacs,"Packaging and filling machine operator",163,70.1,O+,"1998 Plymouth Pronto Spyder",Green
f2c25efe-6a9a-4a94-b87b-1183358147e4,American,"1830 Robinson Court",Saginaw,MI,48607,378-29-0943,989-413-1268,1,12/27/1996,DeborahVEgan@jourrapide.com,Nectifems,BottleSearch.com,"Schucks Auto Supply","Civil service clerk",173,59.5,O+,"2008 BMW 635",Blue
b1ee922d-0e91-4b97-b88b-b3eaca6a8549,American,"126 Derek Drive",Akron,OH,44308,296-90-7935,330-396-9769,1,9/18/1963,HarryCKing@fleckens.hu,Clumand,allurebath.com,Netcore,"Plant custodian",168,91.4,A+,"1994 Mazda Millenia",Blue
99649ee2-104e-4a98-96ef-80b01bce5eee,American,"3634 Capitol Avenue",Romney,IN,47981,310-70-9608,765-538-7658,1,11/13/1937,MarilynJSpear@fleckens.hu,Wattly,mobasheregypt.com,"Big Bear Stores",Manicurist,159,88.3,O+,"1995 Xedos 6",Blue
41a883e1-ee77-4cad-bf30-da902af06445,American,"3661 Reynolds Alley","Los Angeles",CA,90017,567-16-3037,562-356-0547,1,12/12/1996,DeborahWLewis@einrot.com,Adint1996,nswoodworkss.com,"Rolling Thunder","Manufactured building and mobile home installer",159,68.2,B+,"2003 Holden Cruze",Purple
827c83a8-ba94-4a2f-97bc-3535137a8eee,American,"3323 Boring Lane","San Francisco",CA,94107,561-27-0446,415-630-8205,1,12/18/1994,SandraDTaber@gustr.com,Othar1994,bpjswg.com,"Dick Fischers","Employment recruiter",172,80.0,O-,"2002 BMW 760",Purple
931f199e-7913-4f13-baf6-2cb7b0b44c65,American,"454 Bird Spring Lane",Houston,TX,77093,464-43-8257,281-509-8157,1,2/5/1953,MildredBPitre@gustr.com,Taked1953,antoacupuncture.com,"Peter Reeves","Piano repairer",154,66.6,O-,"1999 Buick Regal",Blue
5d84073f-ff1e-4bc2-90f1-83d2eabdd918,American,"2429 Wood Duck Drive",Faithorn,MI,48000,364-44-8610,906-438-8853,1,1/8/2000,LuettaMNewton@rhyta.com,Chatimmon2000,lawyersandyut.com,"Monk House Maker","Mail processing machine operator",160,54.9,A+,"2004 Lincoln Mark X",Purple
0ea9a689-53a8-49da-a334-a1f28e5175b4,American,"3929 Hide A Way Road","San Jose",CA,95129,611-68-7994,408-257-6111,1,11/6/1963,JoseJMueller@cuvox.de,Comitaxby,folcia.com,"Sunny Real Estate Investments","Engineering and natural sciences manager",169,90.6,O+,"1999 Rover 800",Blue
da2e03b5-dca7-4e72-aed8-f412276467df,American,"688 George Avenue",Atmore,AL,36502,418-59-4476,251-368-4348,1,3/16/1971,GailSSchulze@rhyta.com,Fecousels,alexandrevazart.com,FamilyMart,"Rock splitter",160,84.4,O+,"2001 Audi RS4",Blue
c3ec645f-9449-4428-9957-0943a81b21e4,American,"2889 Brown Bear Drive",Hemet,CA,92543,562-33-9409,951-766-8653,1,3/28/1979,DorisKMelancon@armyspy.com,Poplits,ofhotel.com,Lechmere,"Shoe machine operator",163,57.0,A+,"1997 Nissan Primera",Blue
af103d46-24a4-4ebf-bc35-dbbee59b6e32,American,"4916 Meadowbrook Mall Road","Culver City",CA,90232,555-28-3920,310-842-8180,1,12/15/1989,OkBMueller@teleworm.us,Ansoless,jeanesholistics.com,"Coast to Coast Hardware","Executive chef",157,78.0,O+,"2001 Chevrolet Cavalier",Green
3cae7e18-b443-426d-92f4-962ec869ae78,American,"2438 Clement Street",Atlanta,GA,30329,257-59-0639,404-471-3784,1,5/22/1984,WilliamACaufield@dayrep.com,Arler1984,partnerproblems.com,"Skaggs-Alpha Beta",Geographer,168,72.3,B+,"1995 Plymouth Neon",Green
710f0d58-f9f8-4ce9-a2e5-b6d60e929ae1,American,"3835 Lucy Lane",Evansville,IN,47714,309-54-1378,812-471-5676,1,11/25/1964,MarySBlankenship@jourrapide.com,Blanne,layodomains.com,"Fragrant Flower Lawn Services","Gaming dealer",169,52.6,A+,"2003 Buick Rendezvous",Blue
5410bd16-be16-43e1-9de8-8b3f642a8299,American,"3401 Bryan Street",Charlotte,NC,28202,684-01-7784,336-305-7225,1,4/19/1983,DeniseJHarden@gustr.com,Astord,arungany.com,"Kash n' Karry","Cab driver",170,54.7,O+,"2008 BMW X3",Orange
58fd23ee-52a0-4717-8981-523b42b72cbc,American,"1927 Rardin Drive","San Bruno",CA,94066,567-02-6139,650-635-1440,1,10/23/1981,RuthLTinsley@armyspy.com,Lationd,copenhagenstyle.com,"Noodle Kidoodle","Chemical technician",164,85.0,AB+,"2000 Audi A6",Blue
c95ce9e5-fd79-45e3-8739-cda945399299,American,"4957 Chandler Hollow Road",Crafton,PA,15205,210-44-8389,412-418-8108,1,2/23/1955,AnneWMartinez@armyspy.com,Foretump,gonorthkorea.com,"CSK Auto","Automation and control technician",169,85.4,A+,"2015 Volkswagen Golf SportWagen",Purple
6dc1a52c-18ce-4a16-8b99-b8d21846d671,American,"1539 Cliffside Drive",Syracuse,NY,13204,088-60-4423,607-327-5382,1,12/28/1965,DavidSGreene@cuvox.de,Himmuch,crisscrochet.com,Chi-Chi's,"Pump operator",169,66.9,O+,"1995 Oldsmobile Silhouette",White
402697df-df08-4300-a688-438b58cc48a1,American,"1625 Stonepot Road",Branchburg,NJ,08817,135-46-0914,908-415-4373,1,6/11/1956,RobbieMGarland@superrito.com,Clard1956,diariodearmario.com,"Seamans Furniture","Fishing vessel operator",178,110.5,O+,"1997 Daewoo Prince",Blue
2885a62d-1fe7-4684-bbb9-2fbcf4806235,American,"4233 Maple Court",Owensville,MO,65066,486-24-3558,573-437-5335,1,11/2/1995,AliciaAGore@einrot.com,Felainum,placecardonline.com,"John F. Lawhon","X-ray technician",163,70.7,O-,"1999 Kia Shuma",Purple
5f70d931-da9e-45f8-bc69-26dbe2be99fd,American,"547 Everette Alley","Coral Springs",FL,33065,264-62-4850,954-753-9913,1,10/10/1958,JosiahEHinton@rhyta.com,Slingly,caseygirion.com,"Rogersound Labs","Elementary school teacher",166,69.9,B+,"2007 Kia Rio",Blue
933caaed-7e92-43ed-9d86-8cce7bdcb369,American,"4005 Franklee Lane",Philadelphia,PA,19108,204-68-4893,484-551-3779,1,6/11/1990,PeterMLauritzen@gustr.com,Whadn1990,sonnovo.com,"Sky High Financial Advice",Trader,178,87.7,AB+,"2009 Volvo S60",Blue
8d21937d-4304-4686-b568-3ef2ee79838a,American,"4054 Villa Drive",Goshen,IN,46526,317-15-0057,574-535-0091,1,11/9/1960,TammyRPerez@gustr.com,Mossearken,bislahore.com,"Belle Lady","Placement director",160,104.6,AB+,"2012 Lexus LFA",Blue
d056009e-c9b1-4925-9264-8e9439d9697f,American,"769 Kincheloe Road",Portland,OR,97205,542-37-2493,503-450-0969,1,7/3/1956,RobertGSullivan@fleckens.hu,Cionachis,genkasakaba.com,"Bountiful Harvest Health Food Store","Molding, coremaking, and casting machine operator",186,94.2,O+,"2010 Buick Lucerne",Yellow
71db52d2-ea68-4d53-92af-d4b4435d59f1,American,"557 Grim Avenue","San Diego",CA,92103,546-81-2941,619-686-6781,1,6/29/1952,LawrencePMcBeth@dayrep.com,Danclas,azmiryaim.com,"Gart Sports","Insurance broker",172,63.0,B+,"2009 Suzuki Swift",Red
d3c36e60-da01-4685-a3d5-d6bd8ec54faa,American,"4552 Capitol Avenue",Rosedale,IN,47874,311-80-4407,765-548-6324,1,6/12/1950,WilliamBPatterson@cuvox.de,Puntrialmoor50,qwoiciz.com,Gamble-Skogmo,"Chemical engineering technician",165,64.4,B+,"2015 Porsche Cayenne",Blue
db14c6eb-2f82-48cc-ba2f-699f70d04c72,American,"3797 Hickory Street","Salt Lake City",UT,84116,647-86-9321,801-694-3051,1,4/3/1947,ClaytonTSilva@einrot.com,Ittly1947,ryansarrett.com,Netaid,"Employee assistance plan manager",164,69.1,B+,"2006 Jaguar XJ",Blue
54529218-24a6-45d4-a154-48b1c12fdf83,American,"3309 Ward Road","El Paso",TX,79901,466-99-9498,915-440-2408,1,4/15/1970,WillieAHernandez@fleckens.hu,Arow1970,mrsroots.com,Metro,"Construction equipment operator",177,113.3,O+,"2010 Daewoo Kalos",Blue
542d57da-9e96-48db-a179-e81f4e3553f4,American,"1237 Locust Street",Americus,GA,31709,671-22-3440,229-942-1689,1,3/23/1963,JosephMBraunstein@jourrapide.com,Porichines63,villageslist.com,"Sears Homelife","Gate agent",178,68.1,B+,"2001 Cadillac Vizon",Red
f0194741-d95f-42c1-9893-abce1a76972a,American,"780 Augusta Park",Weirton,WV,26062,234-16-1468,304-794-3694,1,1/18/1982,JulietJGrier@einrot.com,Himenced,ScenarioBlog.com,"Architectural Genie","Taxicab dispatcher",170,64.1,O+,"1993 Rover 800",Blue
e7895f99-a097-48bd-b5a8-8bc82fef20ec,American,"3437 Canis Heights Drive","Los Angeles",CA,90071,603-46-8310,213-689-5640,1,11/28/1943,LouLJablonski@cuvox.de,Stichery,bprzpc.com,"Hanover Shoe","Industrial relations manager",159,64.0,AB+,"2012 Lexus IS",Blue
c3af339e-5cf7-47f8-9538-889b34ef55db,American,"1962 Despard Street",Atlanta,GA,30303,673-01-9000,404-713-9821,1,10/11/1984,GordonJAustin@fleckens.hu,Broddy,fallvacapromo.com,"Big D Supermarkets",Bodyguard,187,110.2,A+,"1994 Mitsubishi Valley",Green
b35715a4-5000-4839-aabb-7f2e2fdd488d,American,"3480 Hinkle Deegan Lake Road",Syracuse,NY,13202,104-94-0198,607-224-3444,1,8/11/1958,JohnetteJMarshall@einrot.com,Himpok,nattikorzak.com,Flexus,"Credit counselor",163,61.4,O+,"2005 Fiat Panda",Blue
4b19e64f-9b87-49b7-bfde-dd760f24f95b,American,"4234 Mill Street",Greenville,SC,29601,249-37-9223,864-249-6252,1,10/28/1959,MatthewMRoberts@teleworm.us,Andrely,jonesedwards.com,Silverwoods,"Otorhinolaryngology nurse",173,89.0,AB+,"1997 Rolls-Royce Silver Spur",Blue
93157a45-7e2e-4e76-aa3f-c8149af923b7,American,"2708 Old Dear Lane",Poughkeepsie,NY,12601,099-92-8457,845-851-0448,1,10/10/1944,FernandoAAllen@jourrapide.com,Plegelone,astrovale.com,"House of Gas","Private household cook",166,92.3,O+,"2006 Toyota Matrix",Blue
06285cdd-b494-426c-80b4-3e9126ec6cec,American,"977 Joanne Lane",Cambridge,MA,02141,033-10-3192,978-495-5921,1,3/22/1940,JosephMMahood@einrot.com,Vess1940,cloudiwjqq.com,Silo,"Member services counselor",172,77.3,O+,"1997 Plymouth Neon",Orange
1c8c694b-49fd-413a-9d09-50de09f58f3b,American,"1922 Taylor Street","White Plains",NY,10641,114-22-4685,914-620-6293,1,3/26/1941,BiancaDPartridge@jourrapide.com,Labinkled,pinkandarmed.com,Gemco,Teller,164,84.4,A+,"1998 Mercedes-Benz SL",Red
abe7408f-c6ee-4925-8862-b30b2b346f2c,American,"1128 Wiseman Street",Knoxville,TN,37902,756-01-7548,865-291-2234,1,7/24/1946,MaryWWilliams@einrot.com,Uniagard,hqdoraltires.com,"Source Club","Theoretical mathematician",155,69.3,B-,"1999 Bentley Brooklands",Red
632790b8-3d5f-40e5-a0c2-795bf6337809,American,"541 Carolyns Circle",Dallas,TX,75204,644-98-4421,214-768-7773,1,2/20/1939,CaseyJFrancis@teleworm.us,Shoudered,purplehazemusic.com,"Asian Answers","Press secretary",164,104.5,A+,"2009 Infiniti G37",Purple
4a2162da-878d-428d-87e9-f4239f98a0cd,American,"520 Logan Lane",Denver,CO,80202,524-17-4315,303-285-7203,1,1/10/1949,JonathanEKraus@rhyta.com,Coultle,servmarketing.com,Kleinhans,Dean,168,98.0,O+,"2007 Bentley Continental Flying Spur",Blue
57ba5e63-4942-457e-8975-602222e8e9bb,American,"1750 South Street",Stanton,TX,79782,636-02-2932,432-607-3799,1,3/9/1966,HildaCRamos@superrito.com,Prudernithis,bosaventures.com,"The Flying Bear","Biomedical engineer",174,63.1,AB+,"1997 Volvo S70",Blue
85e7a9ef-4983-4716-affb-12255a37e2c9,American,"1675 Polk Street",Tucson,AZ,85706,765-16-4270,520-806-7579,1,10/14/1993,LeeEKaufman@einrot.com,Prearon,enterpr.com,"Northern Reflections","Organizational development manager",184,94.3,A-,"1995 Citroen C",Blue
20a8c7fc-d082-4798-b6b5-9aed78766698,American,"2384 Andell Road",Nashville,TN,37201,759-01-6415,615-251-2988,1,6/12/1965,VirginiaBKim@einrot.com,Beyea1965,lobglaw.com,"A.J. August Fashion Wear","Financial investigator",171,85.6,O+,"1995 Rover MGF",Purple
9076d1e9-a5d5-4a14-83bb-f477880dee68,American,"1980 Bagwell Avenue",Ocala,FL,34471,771-42-0501,352-624-8158,1,7/21/1969,AaronTRael@teleworm.us,Cappeariver69,ilumeradio.com,"Jackhammer Technologies","Diesel service mechanic",186,77.3,A+,"2003 Toyota Crown",Blue
8495af10-2079-4f86-8e90-680188d706a4,American,"4151 Creekside Lane",Goleta,CA,93117,545-59-1026,805-685-0331,1,2/9/1959,HazelWMorelock@rhyta.com,Puragess,pullinem.com,"Second Time Around","Qualified members of the engine department",161,83.6,A+,"2007 Mercedes-Benz Vito",Purple
d6d15feb-4570-4394-900a-c33b5a77f14a,American,"3365 Geraldine Lane","New York",NY,10013,079-26-5136,646-280-1083,1,12/15/1969,DonnaDFisher@gustr.com,Wenew1969,gasdischarge.com,"Life Map Planners","Project control specialist",167,61.6,A+,"2012 Volkswagen Golf",Red
361a5352-6be5-454a-bec8-a3d3d8c75587,American,"4422 Pearcy Avenue",Pennville,IN,47369,309-50-7117,260-731-6037,1,6/16/1956,MichelleJBobbitt@einrot.com,Squalf,omniaspectrum.com,"Thom McAn Store","Social scientist",172,91.7,O+,"2003 Panoz AIV",Blue
df645f03-965a-42fd-b7b4-18975ad2e6cd,American,"1607 Caynor Circle",Bernardsville,NJ,07924,136-68-9945,908-559-5817,1,9/19/1975,RobertCDuckworth@gustr.com,Wifulated1975,preminder.com,"L.L. Berger","Admissions director",186,84.4,A+,"2008 Hyundai Trajet",Green
76c463e0-9688-4351-b53e-ce9e04978529,American,"631 Arbutus Drive",Miami,FL,33012,771-24-5399,305-829-8608,1,6/17/1936,IvaJGonzales@gustr.com,Trandre,unresumedical.com,Morville,"Promotions manager",166,50.1,O+,"1992 Westfield ZEI",Purple
76d431ba-ee74-4d36-9e67-c26627f6ce7f,American,"623 Jewell Road",Minneapolis,MN,55402,473-39-4644,612-632-6473,1,11/19/1975,KathleenCBrinson@jourrapide.com,Peat1975,uqcrgyw.com,"Environ Architectural Design","Food preparation worker",173,66.7,O+,"2004 Ford Thunderbird",Green
512d84af-6b96-4a3b-9982-f50b9b701050,American,"1317 Golden Ridge Road",Albany,NY,12210,128-54-0111,518-337-0291,1,2/13/1944,CarrieGGunn@fleckens.hu,Dunneve,bermountaines.com,"Expo Superstore","Political scientist",163,97.4,O+,"2001 Chevrolet Silverado",Purple
6b7a7f17-55d9-4b24-b1f0-667f7a2015ec,American,"4118 Deer Haven Drive",Spartanburg,SC,29302,655-01-9972,864-342-8295,1,2/26/1987,DianeWAnderson@einrot.com,Shrothem,yashtooling.com,"Hugh M. Woods","Education administrator",158,84.4,O+,"1992 Porsche 964",Yellow
4f687054-49e0-457e-b67a-24e6b5ec90d0,American,"2851 Oak Ridge Drive","Saint Louis",MO,63101,498-66-6036,573-557-1667,1,11/16/1989,AntonioMWalker@rhyta.com,Herat1989,binsanmoblog.com,"Aaronson Furniture","Infection control nurse",189,105.3,B+,"2014 Audi Q7",Blue
1746f430-99e9-4e84-b5f4-15f497adfb83,American,"4928 Polk Street",Sacramento,CA,95814,602-66-1313,530-207-8051,1,12/20/1970,BarbaraWBlount@dayrep.com,Befickeelp,murtoshknits.com,"Alert Alarm Company","Literary interpreter",161,65.4,O+,"2007 Fiat Palio II",Orange
fb3149e5-537e-4c93-960b-1b909997e10b,American,"3362 Wilkinson Street",Nashville,TN,37211,409-17-5513,615-482-9632,1,11/12/1939,DawnAHigdon@superrito.com,Tioned1939,kaplogy.com,"Holly Tree Inn","Power transformer repairer",170,95.9,O+,"1999 Pagani Zonda",Black
b939437c-b6d7-451f-848a-68b332f79f53,American,"2249 Burwell Heights Road",Beaumont,TX,77701,449-45-3986,409-623-7996,1,2/18/1979,JohnBBrooks@fleckens.hu,Smusbuty,medicalculated.com,"Price's Electronics","Health physicist",180,74.2,A-,"2007 Dodge Ram",Blue
15afa5eb-fd33-4a43-946e-5acaccaee783,American,"3950 Short Street",Georgetown,TX,78626,456-14-0753,512-943-8097,1,12/23/1944,LisaCRamos@rhyta.com,Suirly,discoidea.com,"Scotty's Builders Supply","Perianesthesia nurse",155,73.8,O+,"2007 Nissan Navara",Purple
67f87ff0-2db8-4729-bd85-cae708863220,American,"204 Tator Patch Road",Chicago,IL,60601,322-22-6673,312-856-7967,1,12/23/1978,TimothyMLong@fleckens.hu,Apper1978,easyfloodquote.com,Titania,Gynecologist,179,107.2,A-,"2012 BMW 318",Black
38b256b9-5911-43aa-94bb-1fb542cb53d9,American,"748 Poe Road",Charleston,SC,29401,251-96-6574,843-256-8714,1,12/10/1948,RobertBPeterson@dayrep.com,Tagazier,strugger.com,"Alladin Realty","Electrical and electronics repairer",179,65.0,A+,"2005 BMW 116",Green
208eba77-c628-4bb3-aeb6-04eeb015141b,American,"1686 Roosevelt Street","San Francisco",CA,94108,550-05-9369,415-433-9688,1,3/24/1934,JeanineGBellino@gustr.com,Themisside,igormagrini.com,"Pantry Food Stores","Travel counselor",154,79.1,B+,"2010 Aston Martin Rapide",Red
38854b10-b78a-4959-9cbc-f1463bbf4d99,American,"423 Ingram Road",Greensboro,NC,27409,689-05-9765,336-678-2666,1,3/16/1948,MarilynDJones@teleworm.us,Posee1948,oepj.com,Practi-Plan,"General trial court judge",163,79.8,O+,"1996 Pontiac Firebird",Green
6956c1c3-a942-46c2-98ca-05747ad6867f,American,"2638 Leroy Lane",Watertown,SD,57201,504-58-2050,605-881-9896,1,8/30/1983,DeloresMHale@gustr.com,Jecrer,damavandpeak.com,"Steak and Ale","Inside wire installer",172,65.7,A+,"2015 Acura RDX",Green
be5c2647-75e6-410e-92e3-369ff826ecf3,American,"4528 Grove Street",Wantagh,NY,11793,106-94-6261,631-826-5672,1,12/9/1970,AlbertRJost@jourrapide.com,Aske1970,quidanion.com,"Frank and Seder","U.S. Secret Service special agent",182,76.6,O+,"2004 Lada 111",Blue
ac9bd4c2-2522-46f0-8ab2-c63c3735dbbb,American,"1243 Star Route",Bellwood,IL,60104,331-48-9710,708-544-8304,1,10/31/1967,KylieIPrice@einrot.com,Whaput,favorabledeals.com,"Eli Moore Inc","Tower controller",172,61.5,B+,"2015 Jaguar XK",Brown
1b4984c5-1214-4213-8e25-2ef2c0309a5b,American,"3865 Whispering Pines Circle",Irving,TX,75039,634-38-0992,972-432-7047,1,8/16/1939,DorthyEMedrano@cuvox.de,Thipper,tokasando.com,"Highland Appliance",Adjudicator,151,71.4,A+,"2004 Bugatti Veyron",Purple
ae5f5bcb-23f9-4391-b3e5-4e70edd343fd,American,"4081 Chapel Street",Houston,TX,77002,458-79-6534,281-601-4365,1,8/9/1953,DerrickMPrevost@jourrapide.com,Yelock,lithaenergy.com,"Star Assistance","Ticket taker",186,76.4,O+,"2003 Lada 2123",Blue
d51d7785-4ad0-4bf6-a62a-080e6a347081,American,"2535 Hillside Drive","North Billerica",MA,01862,013-46-6549,339-227-6174,1,8/10/1990,StevenPHicklin@jourrapide.com,Pande1990,windfender.com,"National Auto Parts","Food batchmaker",178,85.1,B+,"2005 Audi TT",Blue
b0390f29-f251-49a9-beb4-2b92dfdc59af,American,"258 Kembery Drive",Schaumburg,IL,60173,346-84-9402,630-610-7146,1,4/19/1953,JohannaBSanders@jourrapide.com,Thispeas,petsrdss.com,"Jewel Mart","Machinery maintenance mechanic",167,79.4,A+,"2000 Tata E",Purple
d45c1ab5-7f8d-4670-89b9-ed0523283a6f,American,"2251 Quilly Lane",Westerville,OH,43081,275-01-1051,614-554-4909,1,1/3/1935,WendyFBrown@einrot.com,Jone1935,vekenfix.com,"Mr. Steak","Electrical line worker",158,75.2,O+,"2008 Alpina B7",Blue
